wavelength_nm,alpha_HTL,alpha_PEROVSKITE,alpha_ETL,alpha_FTO,k_HTL,k_PEROVSKITE,k_ETL,k_FTO,n_HTL,n_PEROVSKITE,n_ETL,n_FTO,n_METAL,k_METAL
1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5655833333333362,3.953083333333254,1.7973333333333557,1.3347499999999783,-0.018250000000000988,0.25916666666667254
1395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56082799358974,4.445645782051201,1.691443897435903,1.2021611346153662,-0.039978326923078455,-0.3825826282051281
1443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5565287807350217,5.054608907658007,1.5624864224273551,1.0374020872307312,-0.06629328651282229,-1.1758109386325089
1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5549878757777833,5.335195925777668,1.5035686897778078,0.9611952779999626,-0.0782743193333344,-1.5415307711110984
1477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5540006749914426,5.541359240375925,1.4604330825299598,0.9050913958460995,-0.08703215143590004,-1.810389013504306
1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.552724563196577,5.85014335935027,1.3960325738120218,0.8208940635383897,-0.10008793297436025,-2.2133356494016994
1520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5514576410256211,6.226503794871633,1.3178182564103054,0.7180135384615056,-0.11591630769230843,-2.7049271794871856
1539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5505777101025586,6.555012175487008,1.2497556496410596,0.6279961598461341,-0.12966835276923216,-3.1344545379486988
1558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5498528302221928,6.8998456302220745,1.1784825742222438,0.5332998879999593,-0.1440497226666677,-3.5857802488889376
1578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5492616876581167,7.280875103042547,1.0998991731966612,0.42843260184613996,-0.1598856734358982,-4.0850255001709
1592.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5489552278974372,7.55883781251265,1.0426682223590262,0.35178635815381654,-0.17140651323077183,-4.449587922051251
1610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5486940000000402,7.930093999999798,0.9663360000000978,0.24923399999991602,-0.18675800000000287,-4.936979999999892
1630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5485827863248005,8.36126740170917,0.8778152478632819,0.12988415384609198,-0.2045418974358988,-5.5036976068376475
1646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5486325214358487,8.720635536820254,0.8041266149744501,0.030218617846117013,-0.21933199876923481,-5.976572131282069
1678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5491119919315963,9.478797715008227,0.6488811082393795,-0.18057952123083965,-0.2504545554871829,-6.975744748034231
1740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5515448888888272,11.103144888888494,0.3169528888888067,-0.6343840000001251,-0.3168586666666737,-9.123075555555602
1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.555897435897407,12.880512820512365,-0.04564102564091854,-1.1338461538462639,-0.3892307692307746,-11.482051282051259
1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5623422905982238,14.871819213674826,-0.45155801709387333,-1.6964467692309313,-0.4700951794871848,-14.13518085470082
1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5710049914529236,17.0888203760677,-0.9033974700853378,-2.325974153846289,-0.5599614358974385,-17.10011350427351
1960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5780742564101047,18.698012717948018,-1.2314198974358987,-2.7847113846156617,-0.6251249230769389,-19.258674871794938
1985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5830379636751672,19.75889709828982,-1.447727247863213,-3.0878809038464397,-0.6680658525641121,-20.684454893162524
2005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.587318416666676,20.638837166666008,-1.6271813333331693,-3.3397557500001085,-0.7036747500000118,-21.868589166666766
2035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5942658055554375,22.01182205555483,-1.9072684444442984,-3.7334622500002297,-0.7592259166666722,-23.718839722222356
2065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6018591944441596,23.44980294444349,-2.200731555555535,-4.14666275000036,-0.8173990833333526,-25.659910277777954
2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.611555555555583,25.21155555555481,-2.5604444444441015,-4.65400000000011,-0.8886666666666798,-28.042222222222108
2148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.626363505777931,27.779048305776882,-3.0850325902219993,-5.395345792000057,-0.9925342293333372,-31.521692871110872
2198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6437088630424341,30.645610586118323,-3.671242340649542,-6.225532161230944,-1.1085242088205405,-35.41612839247864
2270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6722734529913623,35.13135806837465,-4.589662085469627,-7.529251846154011,-1.2901098974359044,-41.52844427350442
2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142328888884322,41.36063288888704,-5.86717511111101,-9.347616000000471,-1.5424746666666849,-50.04803555555577
2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7635363247864007,48.31815170940013,-7.296752136751593,-11.387596153846289,-1.8246474358974467,-59.60010683760652
2494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7904410115554583,51.996630611553655,-8.053649180444154,-12.469437583999934,-1.9739664586666805,-64.66376574222204
2537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8185754609742162,55.7732862571263,-8.831468368409787,-13.582253616461685,-2.1273651063076926,-69.87119716051211
2941.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.180378613999892,100.83554976399591,-18.157557183998506,-26.978854646000855,-3.964213198000067,-132.49999337999998
2973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2172140694528935,105.20554300406366,-19.06558543808478,-28.286748095846633,-4.142898281897487,-138.61038976427426
3005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2553427756406563,109.70176537178986,-20.000391589742776,-29.633667288463585,-4.3268324423077615,-144.90260198717897
3056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.318830567930945,117.13293789100453,-21.5465623477603,-31.86240478523223,-4.6310181874872285,-155.3132386680345
3132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419790953024858,128.82573630686602,-23.98216561558911,-35.375315229540774,-5.110092691692387,-171.72002221948787
3156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4532875115201023,132.67537637305395,-24.784729650323243,-36.533370200616446,-5.267931664410327,-177.12806779624134
3204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5226548118967003,140.6056317965067,-26.43901728164019,-38.921124617847,-5.593246001230824,-188.2779412020518
3245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584452758545922,147.62700612392564,-27.904786529914418,-41.03751559615603,-5.881455314102652,-198.15982899572737
3317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6987811454191615,160.52120094156726,-30.59902136396431,-44.92928397646301,-6.411141119641059,-216.3295257382897
3344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7435977671098044,165.5452073671031,-31.649600824889603,-46.44734438400155,-6.617661525333432,-223.41639196444612
3450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9300747863244396,186.2904594017018,-35.992136752133774,-52.72490384615503,-7.4711858974360155,-252.71933760683805
3573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1681958780009154,212.46883942799104,-41.48120876799476,-60.66519914199944,-8.54982444600006,-289.777832259997
3765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5890378696567495,258.0857412350306,-51.067019418798736,-74.5427015961559,-10.433006647436002,-354.53385344016897
4045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.317764553416964,335.7100871495604,-67.42747781196158,-98.25098328846434,-13.646073775641128,-465.1371930982914
